Gender,Own_Car,Own_Property,Children_Count,Annual_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Employment_Days,Age_Days,Has_Work_Phone,Has_Phone,Has_Email,Occupation_Type,Family_Members,Status
F,Y,Y,3,113432,Working,Secondary / secondary special,Married,House / apartment,-8869,-10151,0,0,0,Private service staff,1,0
F,N,Y,2,104625,Pensioner,Secondary / secondary special,Married,House / apartment,25,-21513,0,0,0,IT staff,5,0
M,Y,Y,0,182757,Working,Higher education,Married,House / apartment,-11834,-14962,0,0,1,High skill tech staff,2,1
M,N,N,1,93581,Pensioner,Secondary / secondary special,Married,House / apartment,27,-17463,1,0,1,Medicine staff,1,0
M,N,Y,2,108047,Working,Secondary / secondary special,Married,House / apartment,-2857,-22610,1,0,0,Laborers,2,1
F,N,Y,3,206861,Working,Secondary / secondary special,Widow,House / apartment,-14175,-20970,0,1,0,Drivers,3,0
F,N,Y,2,223241,Commercial associate,Higher education,Single / not married,House / apartment,-13809,-17508,1,0,0,Managers,1,1
M,Y,N,1,114330,Working,Lower secondary,Married,House / apartment,-4674,-21562,0,0,0,Drivers,4,0
M,N,Y,2,145638,Pensioner,Secondary / secondary special,Separated,House / apartment,7,-22617,0,1,0,Private service staff,5,0
F,N,Y,1,159869,Working,Secondary / secondary special,Married,Rented apartment,-293,-21633,0,0,0,High skill tech staff,2,1
M,N,Y,1,195358,Working,Higher education,Married,House / apartment,-9353,-18833,1,1,0,Accountants,2,1
F,N,N,0,112844,Working,Secondary / secondary special,Married,House / apartment,-8215,-11828,0,0,0,Secretaries,1,0
F,N,N,0,255116,Working,Secondary / secondary special,Married,House / apartment,-3714,-23535,0,1,0,Laborers,3,1
M,Y,Y,1,234949,Working,Secondary / secondary special,Single / not married,House / apartment,-2615,-21517,0,0,1,Security staff,2,1
M,N,N,0,146985,Commercial associate,Incomplete higher,Widow,House / apartment,-8187,-8043,1,0,0,Accountants,2,0
F,N,N,0,117567,Pensioner,Secondary / secondary special,Married,House / apartment,3,-24226,0,0,0,Managers,2,0
M,N,Y,2,133927,Pensioner,Secondary / secondary special,Married,With parents,6,-10323,0,0,0,IT staff,3,1
M,N,Y,0,135812,State servant,Secondary / secondary special,Married,House / apartment,-2392,-21070,0,0,0,IT staff,2,0
F,N,Y,1,153394,Working,Higher education,Married,Co-op apartment,-14467,-22780,0,0,0,Core staff,2,1
F,Y,N,1,242339,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-3941,-23561,0,1,1,Laborers,3,0
F,Y,Y,4,276772,Working,Secondary / secondary special,Married,House / apartment,-8490,-17576,1,0,0,Laborers,3,1
F,Y,N,1,302973,Commercial associate,Incomplete higher,Married,House / apartment,-13793,-16095,1,0,0,Cooking staff,4,0
M,Y,Y,0,236079,Working,Secondary / secondary special,Civil marriage,House / apartment,-6392,-18300,0,0,0,Managers,1,1
M,N,N,1,72146,Student,Secondary / secondary special,Married,Rented apartment,-4032,-19490,0,0,0,High skill tech staff,3,0
F,Y,Y,2,38473,Commercial associate,Incomplete higher,Widow,House / apartment,-13763,-13827,0,1,0,Core staff,3,0
F,N,Y,5,186850,State servant,Secondary / secondary special,Married,House / apartment,-10057,-8547,0,1,0,Medicine staff,1,0
M,N,N,1,75381,Pensioner,Secondary / secondary special,Married,House / apartment,13,-13044,0,0,0,Accountants,3,0
F,N,N,0,57166,Pensioner,Secondary / secondary special,Married,House / apartment,13,-11870,0,0,0,Cooking staff,2,0
M,N,N,3,116064,Pensioner,Higher education,Married,House / apartment,25,-10418,0,0,0,Sales staff,4,0
F,Y,Y,0,319356,Working,Higher education,Civil marriage,House / apartment,-4708,-14063,0,0,0,Cooking staff,1,1
M,N,Y,1,243708,Working,Incomplete higher,Married,House / apartment,-10164,-16066,0,0,0,Medicine staff,3,1
F,N,Y,0,264841,Working,Secondary / secondary special,Separated,Office apartment,-2690,-18272,0,1,0,Drivers,2,0
M,N,Y,0,193100,Working,Incomplete higher,Married,House / apartment,-3134,-18130,1,1,0,Accountants,5,1
M,N,Y,0,114820,Commercial associate,Secondary / secondary special,Separated,House / apartment,-1058,-20758,0,1,0,Sales staff,2,0
M,N,Y,0,136928,Working,Higher education,Widow,House / apartment,-14541,-15129,0,0,0,Medicine staff,5,1
F,N,Y,1,162588,Commercial associate,Higher education,Married,Municipal apartment,-6159,-15094,0,0,0,Cooking staff,4,1
F,N,N,3,168037,State servant,Secondary / secondary special,Married,House / apartment,-2231,-7419,1,0,0,Secretaries,2,0
F,N,Y,0,180464,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,-14881,-8795,1,1,0,Drivers,3,1
F,N,Y,2,258960,Working,Secondary / secondary special,Married,House / apartment,-10232,-16914,0,0,1,Drivers,5,1
M,Y,Y,0,147672,Working,Higher education,Civil marriage,House / apartment,-4553,-13592,0,0,1,Accountants,2,0
M,N,Y,1,168776,Working,Secondary / secondary special,Married,House / apartment,-9020,-21807,0,0,0,Accountants,2,1
F,Y,Y,0,185727,Working,Secondary / secondary special,Single / not married,Co-op apartment,-6491,-16782,0,0,0,IT staff,2,1
M,N,N,3,147080,Pensioner,Secondary / secondary special,Married,House / apartment,8,-19780,0,0,0,High skill tech staff,2,0
F,N,N,2,244724,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8702,-18469,0,0,0,Cooking staff,1,1
M,Y,N,1,230715,Commercial associate,Higher education,Married,House / apartment,-5941,-7526,0,1,1,Security staff,2,1
F,N,N,2,170479,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,26,-24859,0,0,0,Laborers,2,0
M,N,Y,1,184447,Pensioner,Secondary / secondary special,Married,House / apartment,9,-8350,1,1,0,Managers,2,1
F,N,Y,4,148746,Working,Higher education,Married,With parents,-12448,-17281,0,1,0,Private service staff,2,0
F,N,Y,2,415189,Commercial associate,Higher education,Separated,Rented apartment,-1742,-16320,0,0,0,Sales staff,4,1
F,N,Y,3,165925,Working,Secondary / secondary special,Single / not married,Rented apartment,-2400,-16313,0,0,0,Sales staff,3,1
M,Y,Y,1,221295,Working,Secondary / secondary special,Widow,House / apartment,-9622,-8137,0,1,0,Secretaries,1,1
F,N,Y,0,212864,Working,Incomplete higher,Married,House / apartment,-11772,-22310,0,0,0,Medicine staff,3,1
F,Y,Y,1,137667,Working,Secondary / secondary special,Single / not married,House / apartment,-4747,-9151,0,0,0,Security staff,3,0
F,N,Y,0,129237,Working,Incomplete higher,Married,House / apartment,-14924,-12712,0,0,0,Security staff,5,0
F,Y,Y,1,219413,Working,Secondary / secondary special,Single / not married,With parents,-11590,-22573,0,0,0,IT staff,1,1
F,N,Y,1,292549,Commercial associate,Secondary / secondary special,Married,House / apartment,-14592,-16936,0,1,0,Cleaning staff,2,1
F,N,Y,1,126235,Pensioner,Secondary / secondary special,Married,Municipal apartment,27,-21785,0,0,0,Security staff,4,0
F,Y,Y,0,187425,Working,Secondary / secondary special,Separated,With parents,-271,-21089,0,1,0,Cleaning staff,4,0
F,N,Y,0,198723,Working,Incomplete higher,Married,House / apartment,-12733,-24351,0,0,0,Sales staff,3,1
F,N,N,1,96462,Pensioner,Lower secondary,Widow,House / apartment,12,-9497,0,1,0,Private service staff,3,0
M,N,Y,3,104222,Working,Lower secondary,Married,House / apartment,-10472,-14422,1,1,1,Cooking staff,1,0
M,N,Y,0,111183,State servant,Higher education,Widow,House / apartment,-3955,-16884,0,1,0,High skill tech staff,2,1
F,N,N,0,298767,Commercial associate,Higher education,Single / not married,House / apartment,-9426,-23646,1,1,0,Cooking staff,2,1
F,N,Y,2,288091,Working,Higher education,Single / not married,Rented apartment,-9227,-7323,0,1,0,Core staff,2,1
F,Y,Y,1,301330,Working,Higher education,Married,House / apartment,-11166,-22287,0,0,0,Cleaning staff,3,1
F,Y,Y,0,289870,Working,Secondary / secondary special,Separated,House / apartment,-11003,-16405,1,0,1,High skill tech staff,1,1
M,N,Y,0,168421,Working,Secondary / secondary special,Married,With parents,-4977,-11221,0,0,0,Laborers,2,1
M,N,N,0,73073,Working,Higher education,Single / not married,With parents,-7693,-12836,0,0,0,Medicine staff,4,0
F,N,N,4,266180,Commercial associate,Incomplete higher,Married,With parents,-5821,-23454,0,1,0,Cooking staff,2,0
M,N,Y,0,143157,Working,Higher education,Married,House / apartment,-9383,-22394,1,0,0,IT staff,5,1
F,N,Y,0,154003,Commercial associate,Higher education,Civil marriage,House / apartment,-12299,-20794,0,0,0,Accountants,5,1
M,N,Y,0,123934,Commercial associate,Secondary / secondary special,Married,House / apartment,-11288,-21626,0,1,0,Security staff,3,0
F,N,Y,0,232068,Working,Higher education,Single / not married,House / apartment,-11093,-11827,0,0,0,IT staff,2,1
F,N,Y,2,193644,Working,Lower secondary,Married,House / apartment,-3944,-10373,0,0,1,Private service staff,2,1
F,N,Y,0,126609,Working,Secondary / secondary special,Separated,House / apartment,-1159,-18922,1,0,1,Drivers,2,0
F,N,Y,0,122353,Working,Incomplete higher,Widow,Rented apartment,-6054,-21677,0,1,1,Cleaning staff,2,0
M,N,Y,1,153496,Commercial associate,Secondary / secondary special,Married,House / apartment,-14325,-16634,0,0,0,Secretaries,2,1
F,N,Y,0,221823,Working,Higher education,Married,House / apartment,-10073,-10556,0,0,0,Cleaning staff,5,1
F,Y,Y,0,77121,Pensioner,Incomplete higher,Single / not married,House / apartment,25,-17895,0,1,1,Private service staff,2,0
M,Y,Y,2,117924,Working,Secondary / secondary special,Married,House / apartment,-2685,-7253,0,0,0,Core staff,3,0
F,N,N,2,219040,Working,Secondary / secondary special,Married,House / apartment,-9651,-15771,0,0,1,Managers,1,1
F,N,Y,3,205554,Working,Secondary / secondary special,Married,House / apartment,-2297,-9972,0,0,0,High skill tech staff,3,1
F,N,Y,2,221426,Commercial associate,Secondary / secondary special,Married,Rented apartment,-8832,-17511,0,1,0,Cooking staff,4,1
F,N,N,1,132940,Working,Secondary / secondary special,Married,House / apartment,-5098,-8696,0,1,0,Drivers,2,1
F,Y,Y,0,221309,Working,Secondary / secondary special,Married,House / apartment,-11525,-22910,0,1,0,Security staff,2,1
M,N,Y,2,140798,Commercial associate,Incomplete higher,Married,House / apartment,-8184,-9539,0,1,0,Drivers,3,0
F,N,Y,2,275348,Working,Secondary / secondary special,Married,House / apartment,-14459,-14056,1,0,0,Accountants,3,1
F,N,Y,2,210067,Working,Secondary / secondary special,Married,Rented apartment,-14836,-24852,0,0,1,Drivers,3,1
M,N,Y,1,226230,Commercial associate,Incomplete higher,Married,House / apartment,-4553,-19902,0,0,0,IT staff,2,1
M,N,Y,0,179387,Working,Incomplete higher,Single / not married,House / apartment,-7908,-10441,0,0,0,Cleaning staff,2,1
M,Y,Y,2,250804,Commercial associate,Higher education,Civil marriage,House / apartment,-14016,-23867,0,0,0,Managers,5,1
F,N,N,2,20000,Commercial associate,Higher education,Married,With parents,-12339,-8263,0,0,0,Cooking staff,4,1
F,N,Y,4,241011,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10532,-15701,0,0,0,Secretaries,2,1
M,N,Y,0,103998,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14383,-10044,0,0,0,Security staff,4,0
F,N,N,0,142722,Commercial associate,Secondary / secondary special,Married,House / apartment,-2895,-21794,1,0,0,Sales staff,2,0
M,Y,Y,0,155026,Commercial associate,Higher education,Married,Rented apartment,-6740,-23891,1,0,0,Sales staff,2,1
F,Y,N,2,127845,Pensioner,Secondary / secondary special,Married,With parents,25,-14831,0,0,1,Sales staff,2,0
F,N,Y,0,147493,Working,Higher education,Single / not married,House / apartment,-1054,-13869,0,0,0,Managers,2,1
F,N,N,0,280456,Working,Secondary / secondary special,Married,With parents,-3384,-15796,0,0,0,Secretaries,2,1
F,Y,Y,5,129991,Pensioner,Secondary / secondary special,Widow,House / apartment,13,-21894,0,0,1,Accountants,1,0
M,Y,N,0,248533,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15000,-21064,0,1,0,Medicine staff,2,0
M,N,N,2,74402,Working,Higher education,Married,House / apartment,-4410,-14006,0,0,0,Sales staff,3,0
M,Y,Y,0,159451,Pensioner,Secondary / secondary special,Married,With parents,16,-15342,0,1,0,Sales staff,3,0
F,N,Y,2,149776,Working,Secondary / secondary special,Married,House / apartment,-2395,-8660,0,0,0,Core staff,3,1
F,N,Y,1,20000,Commercial associate,Secondary / secondary special,Married,With parents,-42,-13820,1,0,0,Secretaries,4,0
F,N,Y,3,117886,Pensioner,Secondary / secondary special,Married,House / apartment,18,-16539,0,0,0,Medicine staff,1,0
F,Y,Y,3,132252,State servant,Higher education,Single / not married,With parents,-156,-15277,0,1,0,Private service staff,3,0
F,Y,Y,0,156436,Working,Secondary / secondary special,Single / not married,House / apartment,-6623,-16505,0,1,1,Managers,3,1
F,N,Y,0,226189,Commercial associate,Secondary / secondary special,Married,House / apartment,-1985,-9656,0,0,0,Managers,2,1
F,N,Y,0,73441,Working,Incomplete higher,Married,House / apartment,-4299,-11903,0,0,0,Medicine staff,2,0
F,N,Y,1,121143,Working,Secondary / secondary special,Married,House / apartment,-10562,-9225,1,0,0,IT staff,1,0
M,Y,Y,2,133751,Working,Secondary / secondary special,Married,House / apartment,-10192,-17066,0,0,0,High skill tech staff,4,0
F,N,Y,1,178198,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11921,-19225,1,0,0,Security staff,2,1
M,N,Y,1,191487,Working,Secondary / secondary special,Married,Co-op apartment,-8281,-16000,0,0,0,High skill tech staff,4,1
F,N,Y,0,219730,Working,Secondary / secondary special,Civil marriage,House / apartment,-6673,-7669,0,1,0,High skill tech staff,3,1
F,N,Y,2,144241,Commercial associate,Higher education,Widow,House / apartment,-8982,-14516,0,0,0,Cooking staff,3,1
M,N,Y,4,256107,Commercial associate,Higher education,Married,House / apartment,-14618,-7851,0,0,1,Accountants,3,1
F,N,Y,0,138548,Pensioner,Secondary / secondary special,Married,House / apartment,4,-13885,0,0,0,Medicine staff,3,0
F,Y,Y,1,132499,Pensioner,Higher education,Married,House / apartment,12,-17828,0,0,0,Cleaning staff,2,0
M,N,N,0,137680,Working,Secondary / secondary special,Married,With parents,-14073,-22504,1,1,0,Cleaning staff,2,0
M,Y,Y,1,186187,State servant,Secondary / secondary special,Married,House / apartment,-3365,-7354,1,0,0,Core staff,3,1
F,N,Y,1,123214,Pensioner,Higher education,Civil marriage,With parents,8,-18607,0,0,0,Accountants,2,0
F,N,Y,0,139290,Working,Secondary / secondary special,Married,House / apartment,-14440,-19590,0,0,0,High skill tech staff,2,0
F,Y,N,1,161670,Working,Secondary / secondary special,Single / not married,Co-op apartment,-13811,-24458,0,0,0,Secretaries,1,1
F,N,N,0,144157,Working,Incomplete higher,Civil marriage,House / apartment,-14103,-14129,0,0,0,Managers,4,0
F,Y,Y,1,186625,Working,Secondary / secondary special,Civil marriage,House / apartment,-784,-11610,0,0,0,Core staff,1,0
F,N,Y,1,221272,Commercial associate,Secondary / secondary special,Married,House / apartment,-875,-13854,0,0,0,Secretaries,3,1
F,N,N,0,234439,Commercial associate,Higher education,Civil marriage,Rented apartment,-12632,-9191,0,1,0,Private service staff,2,1
F,Y,Y,2,268835,Commercial associate,Higher education,Single / not married,House / apartment,-1000,-12569,0,0,0,Medicine staff,2,1
M,N,Y,2,133099,Working,Higher education,Married,House / apartment,-5070,-9521,0,1,0,Security staff,3,1
M,N,Y,0,129142,Working,Secondary / secondary special,Widow,House / apartment,-1532,-13817,0,0,0,Sales staff,1,0
M,Y,Y,0,177057,Pensioner,Secondary / secondary special,Separated,Municipal apartment,13,-7417,1,1,0,Laborers,3,0
F,Y,N,2,235316,Working,Secondary / secondary special,Married,House / apartment,-7102,-14691,0,1,0,Laborers,3,1
F,N,N,3,190571,State servant,Secondary / secondary special,Civil marriage,House / apartment,-3763,-8827,1,0,0,Cooking staff,3,0
F,N,N,0,101052,Working,Secondary / secondary special,Married,With parents,-10620,-14128,1,0,0,Security staff,2,0
M,N,Y,0,137100,State servant,Higher education,Married,Municipal apartment,-2936,-17968,1,0,0,Sales staff,4,1
M,Y,N,0,229379,Working,Secondary / secondary special,Married,House / apartment,-12602,-20312,0,0,0,IT staff,3,1
M,Y,Y,1,182492,Working,Secondary / secondary special,Married,Co-op apartment,-8774,-12146,0,0,1,Medicine staff,4,1
M,N,Y,0,115578,Working,Secondary / secondary special,Married,House / apartment,-9257,-20214,0,0,0,High skill tech staff,2,1
F,Y,N,0,161803,Commercial associate,Lower secondary,Married,House / apartment,-2047,-21319,1,0,0,Cleaning staff,2,1
M,Y,Y,1,107510,Pensioner,Incomplete higher,Single / not married,House / apartment,23,-16144,0,1,0,Sales staff,4,0
M,Y,Y,1,287671,Working,Academic degree,Married,House / apartment,-12412,-18922,1,0,0,Core staff,4,1
F,N,Y,0,160714,State servant,Secondary / secondary special,Married,With parents,-3342,-9138,0,1,0,Accountants,2,1
M,N,N,0,262290,Commercial associate,Secondary / secondary special,Married,Rented apartment,-4784,-12307,0,0,0,Cooking staff,2,1
F,N,Y,1,263727,Commercial associate,Secondary / secondary special,Married,House / apartment,-185,-11727,0,0,1,Managers,2,1
F,N,Y,0,150836,Pensioner,Higher education,Married,House / apartment,25,-23584,0,0,0,IT staff,2,1
M,Y,Y,0,225926,Working,Secondary / secondary special,Married,House / apartment,-11315,-24093,0,0,0,Cooking staff,2,1
F,N,N,2,268663,Working,Secondary / secondary special,Married,House / apartment,-5879,-16493,0,1,0,Accountants,2,1
F,Y,N,0,109710,Pensioner,Secondary / secondary special,Married,House / apartment,11,-11427,0,0,0,Core staff,4,0
F,N,Y,2,96824,Pensioner,Secondary / secondary special,Married,With parents,19,-15290,0,0,0,Cleaning staff,1,0
M,N,Y,3,226949,State servant,Secondary / secondary special,Separated,House / apartment,-10601,-19049,1,1,1,Laborers,3,0
F,N,Y,0,164556,Pensioner,Secondary / secondary special,Married,House / apartment,22,-20656,1,0,0,Security staff,2,0
F,N,N,0,229405,Working,Secondary / secondary special,Single / not married,House / apartment,-13597,-17574,0,0,1,Accountants,2,1
M,N,Y,1,135055,Pensioner,Secondary / secondary special,Married,With parents,27,-15007,1,1,0,Core staff,1,0
F,Y,N,2,210261,Working,Secondary / secondary special,Married,House / apartment,-3057,-18666,0,0,0,Drivers,2,1
F,N,Y,3,51926,Student,Higher education,Married,With parents,-12715,-15952,1,1,0,Core staff,3,0
F,N,N,2,61390,Working,Secondary / secondary special,Separated,House / apartment,-6138,-14932,1,1,0,Medicine staff,4,0
M,N,N,0,162935,Commercial associate,Higher education,Married,House / apartment,-13272,-7091,1,0,0,Drivers,2,1
F,N,Y,1,199044,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-3570,-23584,0,1,0,IT staff,2,1
M,N,N,0,161224,Working,Secondary / secondary special,Married,With parents,-13751,-23206,0,0,0,Accountants,2,0
M,Y,Y,1,217113,Working,Higher education,Married,House / apartment,-14122,-22280,1,0,0,Private service staff,4,1
M,N,Y,0,136075,Pensioner,Lower secondary,Separated,Rented apartment,24,-18174,0,0,1,Medicine staff,3,0
M,Y,Y,0,94130,Pensioner,Higher education,Married,House / apartment,9,-18205,0,0,0,Private service staff,2,0
M,N,N,2,166996,Working,Secondary / secondary special,Married,House / apartment,-12477,-19924,0,1,0,Cooking staff,3,1
M,N,Y,1,158814,Pensioner,Secondary / secondary special,Married,House / apartment,17,-9538,0,0,0,IT staff,4,1
F,N,Y,0,284788,Commercial associate,Secondary / secondary special,Married,House / apartment,-4821,-18631,0,0,0,Drivers,1,1
M,N,Y,0,130302,Working,Secondary / secondary special,Married,House / apartment,-5831,-16456,1,0,0,Medicine staff,2,0
M,N,Y,2,187211,Working,Secondary / secondary special,Married,House / apartment,-7298,-13577,0,0,0,Security staff,4,1
F,Y,Y,2,110581,Pensioner,Secondary / secondary special,Married,With parents,16,-15381,0,0,0,Cleaning staff,3,0
F,N,Y,0,246311,Commercial associate,Secondary / secondary special,Married,House / apartment,-4060,-19174,0,1,0,Core staff,2,1
F,Y,N,0,301402,Commercial associate,Higher education,Married,House / apartment,-7422,-22808,1,1,0,Accountants,2,1
M,N,Y,0,182966,Commercial associate,Higher education,Widow,House / apartment,-10121,-9750,0,1,1,High skill tech staff,2,1
M,Y,Y,3,73686,Working,Secondary / secondary special,Married,House / apartment,-4332,-22680,0,0,0,Security staff,2,1
M,Y,Y,1,218212,Working,Incomplete higher,Single / not married,House / apartment,-14462,-8083,0,1,0,Core staff,3,1
M,N,Y,1,139739,Working,Higher education,Single / not married,Office apartment,-2768,-15591,0,0,0,Medicine staff,2,1
M,Y,N,1,114249,Working,Secondary / secondary special,Married,House / apartment,-5908,-9471,0,0,0,Security staff,3,0
M,N,N,0,206532,Commercial associate,Secondary / secondary special,Married,With parents,-13534,-10205,0,0,0,Laborers,4,1
M,Y,Y,2,138691,State servant,Higher education,Married,House / apartment,-3793,-13820,0,1,0,Accountants,2,1
M,Y,N,1,166645,Working,Secondary / secondary special,Married,House / apartment,-2503,-9630,1,0,0,Managers,2,1
F,N,N,0,79081,Working,Incomplete higher,Married,House / apartment,-7286,-13732,0,0,0,High skill tech staff,2,0
M,Y,N,0,219017,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13267,-14864,0,0,0,Private service staff,3,1
M,Y,Y,1,89858,Pensioner,Secondary / secondary special,Married,House / apartment,1,-13709,0,0,0,High skill tech staff,2,0
F,N,N,3,173839,Commercial associate,Incomplete higher,Married,House / apartment,-194,-18759,0,1,0,Core staff,3,0
F,Y,Y,0,98349,Pensioner,Lower secondary,Married,Municipal apartment,12,-12451,1,1,1,Private service staff,4,0
M,N,Y,2,171677,Commercial associate,Secondary / secondary special,Civil marriage,Co-op apartment,-5055,-12979,0,0,0,Laborers,2,1
F,Y,Y,2,97657,Pensioner,Higher education,Married,House / apartment,10,-20886,0,0,0,Private service staff,4,0
F,Y,Y,0,98119,Working,Secondary / secondary special,Married,House / apartment,-13082,-10653,1,1,0,Sales staff,5,0
M,N,Y,0,176851,Working,Higher education,Married,House / apartment,-4774,-22416,0,0,0,Cooking staff,1,1
F,Y,Y,0,163419,Working,Incomplete higher,Married,House / apartment,-6834,-15260,1,1,0,Accountants,2,1
F,Y,Y,2,206024,Working,Secondary / secondary special,Single / not married,Rented apartment,-4097,-23512,0,0,0,Cooking staff,5,1
M,N,N,0,89269,State servant,Secondary / secondary special,Single / not married,House / apartment,-8975,-11681,0,0,0,Security staff,5,0
M,Y,N,0,92500,Pensioner,Secondary / secondary special,Single / not married,With parents,26,-24773,1,0,0,Private service staff,1,0
F,N,Y,1,153545,Working,Secondary / secondary special,Married,House / apartment,-115,-19758,0,1,1,Cleaning staff,1,1
F,Y,N,2,113012,Working,Secondary / secondary special,Separated,House / apartment,-8901,-11599,0,0,0,Managers,2,0
M,N,N,0,239271,Working,Higher education,Married,House / apartment,-5308,-10150,1,0,0,Sales staff,5,1
M,N,N,0,207552,Working,Secondary / secondary special,Married,Municipal apartment,-14803,-10906,0,1,0,Sales staff,2,1
M,N,Y,1,136426,Commercial associate,Secondary / secondary special,Married,House / apartment,-4841,-8823,0,0,0,Core staff,2,0
F,N,Y,1,104858,Pensioner,Higher education,Married,House / apartment,20,-17685,1,0,0,Core staff,4,1
F,N,N,2,186763,State servant,Secondary / secondary special,Married,House / apartment,-1190,-9254,0,1,0,Security staff,1,1
M,N,Y,0,255187,Commercial associate,Secondary / secondary special,Married,House / apartment,-5274,-12012,0,0,0,Drivers,3,1
F,Y,Y,2,103235,Pensioner,Secondary / secondary special,Married,House / apartment,11,-11802,0,0,0,Laborers,2,0
F,N,Y,1,278082,Commercial associate,Secondary / secondary special,Married,With parents,-5460,-24302,1,0,0,Drivers,4,1
M,N,Y,1,290919,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-10217,-24563,1,0,0,Medicine staff,2,1
M,N,Y,1,227574,Commercial associate,Higher education,Widow,With parents,-6898,-9005,0,0,0,Accountants,3,1
F,N,Y,0,155422,Commercial associate,Secondary / secondary special,Married,Rented apartment,-2246,-18820,0,1,0,Accountants,3,1
F,N,Y,0,215370,Commercial associate,Higher education,Civil marriage,With parents,-11156,-15124,1,0,0,Cooking staff,2,1
F,Y,N,1,215945,Working,Higher education,Civil marriage,Rented apartment,-14405,-12098,0,1,0,Security staff,1,1
F,Y,N,1,190540,Working,Higher education,Widow,House / apartment,-6670,-19722,0,1,0,Accountants,2,1
M,N,Y,1,121890,Working,Secondary / secondary special,Married,House / apartment,-13986,-24041,1,0,0,Accountants,2,0
F,N,N,0,169643,State servant,Secondary / secondary special,Single / not married,Co-op apartment,-14759,-14969,0,1,0,Laborers,3,1
F,N,Y,3,226203,Working,Incomplete higher,Married,House / apartment,-12637,-17413,0,0,0,Secretaries,3,1
M,N,Y,1,103150,Pensioner,Secondary / secondary special,Married,Municipal apartment,17,-16094,0,0,0,Cooking staff,2,0
M,N,N,0,119529,Pensioner,Secondary / secondary special,Single / not married,House / apartment,28,-10702,0,0,0,IT staff,3,0
M,N,N,1,111656,Working,Higher education,Single / not married,Municipal apartment,-3549,-15303,0,0,0,Secretaries,3,0
M,Y,N,2,219419,Commercial associate,Higher education,Married,House / apartment,-11239,-23653,0,0,0,Medicine staff,3,1
M,Y,Y,2,108005,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,21,-19992,0,1,0,Medicine staff,2,0
M,N,N,1,173180,Working,Higher education,Married,House / apartment,-3668,-20132,0,1,0,Sales staff,2,1
M,N,Y,3,123666,State servant,Secondary / secondary special,Married,House / apartment,-4322,-21040,0,0,0,Security staff,2,0
M,Y,Y,0,220388,Working,Secondary / secondary special,Married,Rented apartment,-4684,-15056,0,0,0,Cooking staff,2,1
F,N,N,0,198305,Working,Higher education,Civil marriage,House / apartment,-265,-22495,0,1,0,Accountants,2,1
F,N,Y,3,117648,Pensioner,Higher education,Widow,Rented apartment,22,-12639,0,0,0,Secretaries,2,0
F,N,Y,3,126916,Pensioner,Academic degree,Single / not married,House / apartment,29,-9157,0,1,0,Security staff,1,0
F,N,N,1,61869,Student,Secondary / secondary special,Married,Rented apartment,-13490,-7508,1,0,0,Sales staff,3,0
F,N,Y,2,146510,Commercial associate,Higher education,Married,House / apartment,-4990,-7579,0,1,0,High skill tech staff,2,1
M,Y,Y,0,210690,State servant,Secondary / secondary special,Married,House / apartment,-1955,-19240,1,1,0,Core staff,2,1
F,N,Y,2,107296,Pensioner,Secondary / secondary special,Married,House / apartment,25,-15897,0,0,0,Accountants,2,0
F,N,Y,0,97882,Pensioner,Higher education,Married,Co-op apartment,23,-11919,0,0,1,IT staff,2,0
F,Y,N,0,126599,Commercial associate,Secondary / secondary special,Married,House / apartment,-10488,-9215,1,0,0,Managers,3,0
M,N,Y,0,213774,Working,Secondary / secondary special,Married,House / apartment,-10698,-24642,0,0,0,Private service staff,2,1
M,N,Y,0,191395,State servant,Secondary / secondary special,Civil marriage,House / apartment,-324,-19047,1,1,0,High skill tech staff,2,0
M,N,N,0,175388,Working,Secondary / secondary special,Married,House / apartment,-13357,-23924,0,0,0,Managers,2,0
M,N,Y,0,193813,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-4040,-10912,0,0,0,Cleaning staff,2,1
F,Y,Y,0,138212,Working,Secondary / secondary special,Married,House / apartment,-10594,-17764,0,0,0,High skill tech staff,2,0
F,N,N,0,281071,Commercial associate,Secondary / secondary special,Married,House / apartment,-1381,-19329,0,1,0,Cooking staff,4,1
M,N,Y,1,139721,Working,Secondary / secondary special,Married,Rented apartment,-11636,-20026,0,0,0,Drivers,2,1
F,N,Y,1,185351,Working,Higher education,Married,House / apartment,-8232,-21473,0,0,0,Core staff,2,1
F,Y,Y,0,43499,Pensioner,Higher education,Married,Municipal apartment,27,-12708,0,0,0,Security staff,1,0
